"country" "output" "mainlines" "employees"
"Australia" 0.74 0.7767 0.85
"Austria" 0.24 0.3223 0.18
"Belgium" 0.36 0.3990 0.26
"Canada" 1.26 1.5296 1.05
"Denmark" 0.39 0.2911 0.18
"Finland" 0.29 0.2670 0.20
"France" 2.06 2.8085 1.56
"Germany" 1.73 2.9981 2.12
"Iceland" 0.02 0.0126 0.02
"Ireland" 0.11 0.0983 0.13
"Italy" 1.48 2.2350 1.18
"Japan" 2.73 5.3236 2.77
"Netherland" 0.77 0.6940 0.32
"New Zealand" 0.16 0.1473 0.17
"Norway" 0.27 0.2132 0.15
"Portugal" 0.19 0.2379 0.23
"Spain" 0.59 1.2603 0.75
"Sweden" 0.71 0.5849 0.42
"Switzerland" 0.56 0.3943 0.22
"Turkey" 0.15 0.6893 0.36
"UK" 2.53 2.5404 2.27
